Moteur, 4aDiesel
1.0000000000000000, 138.18993537860047
1.1645988662318392, 131.5079920157824
1.236178148102398, 126.18718650315563
1.3066227419876606, 121.08166046418843
1.3694565765147404, 116.18270370421787
1.441391205022022, 111.48195844253753
1.6591789160020636, 100.13102857696111
1.9852460247531185, 84.8830781728129
2.1347640999856816, 79.45515833835852
2.8547949516108426, 59.999999999999936
3.9516107931380073, 42.763058407865856
4.957929507125086, 33.377009525653705
5.960243844599473, 27.149571297713017
6.9549827986295885, 22.4519096371955
7.707772315446851, 19.999999999999982
8.433612542192016, 17.963629268061844
8.95537873549707, 16.67660655972058
9.925632195295249, 14.733197648453995
10.954608207512592, 13.016263960600828
11.936787749423097, 11.594794537242493
12.895084414601332, 10.500609859591178
13.930314046819706, 9.509681872255626
14.920560029945154, 8.68370042081824
15.912279154701041, 7.995231695120555
16.97153239274233, 7.300790685544749
17.9455106680045, 6.7777180223915146
18.893552871576972, 6.344311142268956
19.979738539726977, 5.841315921812472
20.950523072285574, 5.378199608006141
21.74828350809301, 1.899447555349227
